x;y;Image_Number;Condition
2720;2160;9;50_02
2704;2160;10;50_02
2808;2088;11;50_02
2776;2088;12;50_02
2656;2152;13;50_02
2728;2080;14;50_02
2680;2112;15;50_02
2688;2128;1;50_08
2656;2104;2;50_08
2672;2136;3;50_08
2736;2152;4;50_08
2976;2104;1;50_18
2632;2120;2;50_18
2752;2232;3;50_18
2768;2024;4;50_18
2768;2024;5;50_18
2784;2168;6;50_18
2744;2120;7;50_18
2728;2048;8;50_18
2816;2128;9;50_18
2960;2376;10;50_18
2696;2096;11;50_18
2760;2056;12;50_18
